REGIONID,PORTFOLIO,STATIONNAME,DUID,FUEL,TransmissionLossFactor,CAPACITY,STARTDATE,ENDDATE
QLD1,RATCH Australia,Collinsville,COLNSV_1,Black Coal,1.0389,31,1998-10-25T00:00:00,2012-12-31T00:00:00
QLD1,RATCH Australia,Collinsville,COLNSV_2,Black Coal,1.0389,31,1998-10-25T00:00:00,2012-12-31T00:00:00
QLD1,RATCH Australia,Collinsville,COLNSV_3,Black Coal,1.0389,32,1998-10-25T00:00:00,2012-12-31T00:00:00
QLD1,RATCH Australia,Collinsville,COLNSV_4,Black Coal,1.0389,32,1998-10-25T00:00:00,2012-12-31T00:00:00
QLD1,RATCH Australia,Collinsville,COLNSV_5,Black Coal,1.0389,66,1998-10-25T00:00:00,2012-12-31T00:00:00
QLD1,Risen Energy,Yarranlea Solar Farm,YARANSF1,Solar,0.9888,103,2020-01-07T00:00:00,2999-12-31T00:00:00
QLD1,RTA Yarwun,Yarwun,YARWUN_1,Gas,0.9472,180,2010-06-30T00:00:00,2999-12-31T00:00:00
QLD1,Sapphire Energy,Edenvale Solar Park,EDENVSF1,Solar,0.9823,146,2022-12-20T00:00:00,2999-12-31T00:00:00
QLD1,Shell Energy Retail,Gangarri Solar Farm,GANGARR1,Solar,0.9977,120,2021-04-13T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Clarke Creek Wind Farm,CLRKCWF1,Wind,0.943,338,2024-10-01T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Clarke Creek Wind Farm,CLRKCWF2,Wind,0.943,101,2025-04-23T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Mackay GT,MACKAYGT,Diesel,1.0674,34,1998-10-25T00:00:00,2021-04-01T00:00:00
QLD1,Stanwell Corp,Stanwell,STAN-1,Black Coal,0.9273,385,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Stanwell,STAN-2,Black Coal,0.9273,385,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Stanwell,STAN-3,Black Coal,0.9273,385,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Stanwell,STAN-4,Black Coal,0.9273,385,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Swanbank B,SWAN_B_1,Black Coal,1.0011,125,1998-10-25T00:00:00,2013-08-13T00:00:00
QLD1,Stanwell Corp,Swanbank B,SWAN_B_3,Black Coal,1.0011,125,1998-10-25T00:00:00,2013-08-13T00:00:00
QLD1,Stanwell Corp,Tarong,TARONG#1,Black Coal,0.973,385,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Tarong,TARONG#2,Black Coal,0.973,385,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Tarong,TARONG#3,Black Coal,0.973,385,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Tarong,TARONG#4,Black Coal,0.973,385,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Tarong BESS,TARBESS1,Battery,0.9641,300,2025-03-31T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Tarong North,TNPS1,Black Coal,0.9736,480,2002-09-16T00:00:00,2999-12-31T00:00:00
QLD1,Stanwell Corp,Wambo Wind Farm 1,WAMBOWF1,Wind,0.9698,245,2025-06-17T00:00:00,2999-12-31T00:00:00
QLD1,Sun Metals Corporation,Sun Metals Solar Farm,SMCSF1,Solar,1.0151,121,2018-03-30T00:00:00,2999-12-31T00:00:00
QLD1,Telstra Energy (Generation),Emerald Solar Park,EMERASF1,Solar,0.9381,72,2018-09-13T00:00:00,2999-12-31T00:00:00
QLD1,University of Queensland,Warwick Solar Farm 1,WARWSF1,Solar,0.9888,32,2020-09-22T00:00:00,2999-12-31T00:00:00
QLD1,University of Queensland,Warwick Solar Farm 2,WARWSF2,Solar,0.9888,32,2020-09-22T00:00:00,2999-12-31T00:00:00
QLD1,Wandoan Solar Project Co,Wandoan 1 Solar Farm,WANDSF1,Solar,0.9975,125,2023-03-07T00:00:00,2999-12-31T00:00:00
QLD1,Whitsunday Solar Farm,Whitsunday Solar Farm,WHITSF1,Solar,0.9398,56,2018-05-29T00:00:00,2999-12-31T00:00:00
QLD1,X-ELIO Blue Grass,Blue Grass Solar Farm,BLUEGSF1,Solar,0.9543,148,2022-02-01T00:00:00,2999-12-31T00:00:00
SA1,AGL,Hallett 1 Wind Farm,HALLWF1,Wind,0.9663,95,2007-12-19T00:00:00,2999-12-31T00:00:00
SA1,AGL,Hallett 2 Wind Farm,HALLWF2,Wind,0.9608,71,2009-05-11T00:00:00,2999-12-31T00:00:00
SA1,AGL,North Brown Hill Wind Farm,NBHWF1,Wind,0.9579,132,2010-07-19T00:00:00,2999-12-31T00:00:00
SA1,AGL,The Bluff Wind Farm,BLUFF1,Wind,0.9579,53,2011-07-05T00:00:00,2999-12-31T00:00:00
SA1,AGL,Torrens Island A,TORRA1,Gas,0.9999,120,1998-10-25T00:00:00,2021-09-30T00:00:00
SA1,AGL,Torrens Island A,TORRA2,Gas,0.9999,120,1998-10-25T00:00:00,2020-09-30T00:00:00
SA1,AGL,Torrens Island A,TORRA3,Gas,0.9994,120,1998-10-25T00:00:00,2023-07-01T00:00:00
SA1,AGL,Torrens Island A,TORRA4,Gas,0.9999,120,1998-10-25T00:00:00,2020-09-30T00:00:00
SA1,AGL,Torrens Island B,TORRB1,Gas,0.9992,210,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,AGL,Torrens Island B,TORRB2,Gas,0.9992,210,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,AGL,Torrens Island B,TORRB3,Gas,0.9992,210,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,AGL,Torrens Island B,TORRB4,Gas,0.9992,210,1998-10-25T00:00:00,2999-12-31T00:00:00
SA1,AGL,Torrens Island BESS,TIB1,Battery,0.9992,250,2024-07-12T00:00:00,2999-12-31T00:00:00
SA1,AGL,Torrens Island BESS,TIBG1,Battery,0.9998,250,2023-04-26T00:00:00,2024-07-31T00:00:00
SA1,AGL,Wattle Point Wind Farm,WPWF,Wind,0.8456,91,2005-03-15T00:00:00,2999-12-31T00:00:00
SA1,AGL SA Generation,Barker Inlet,BARKIPS1,Gas,0.9996,210,2019-10-15T00:00:00,2999-12-31T00:00:00
